module,name,kind,internal_count,src_count,dev_count,test_count,comment
glimra/textmate/scope_matcher,ScopeStack,type,11,14,0,0,
glimra/textmate/scope_matcher,from_scopes,fn,0,1,0,0,
glimra/textmate/scope_matcher,to_list,fn,0,1,0,0,
glimra/textmate/scope_matcher,matches_scope,fn,2,2,0,0,
glimra/textmate/scope_matcher,matches_parent_scopes,fn,0,1,0,0,
glimra/textmate/color_map,ColorMap,type,6,10,0,0,
glimra/textmate/color_map,new,fn,2,93,0,11,
glimra/textmate/color_map,get_id,fn,0,5,0,0,
glimra/textmate/color_map,get_color,fn,0,1,0,0,
glimra/textmate/theme_loader,parse_theme_json,fn,0,1,0,0,
glimra/textmate/tokenize,TokenizeResult,type,3,6,0,0,
glimra/textmate/tokenize,tokenize_line,fn,0,5,0,0,
glimra/utils/strings,Line,type,3,5,0,3,
glimra/utils/strings,split_lines,fn,2,5,0,0,
glimra/oniguruma_to_es/transform,default_config,fn,0,0,0,2,
glimra/oniguruma_to_es/transform,transform,fn,6,18,2,6,
glimra/oniguruma_to_es/transform/third_pass,ThirdPassState,type,40,1,0,0,
glimra/oniguruma_to_es/transform/third_pass,run,fn,0,5,3,5,
glimra/oniguruma_to_es/transform/utils,is_valid_js_group_name,fn,0,4,0,0,
glimra/oniguruma_to_es/transform/utils,get_or_insert_group_name,fn,0,4,0,0,
glimra/oniguruma_to_es/transform/utils,CurrentFlags,type,4,5,0,0,
glimra/oniguruma_to_es/transform/utils,get_new_current_flags,fn,0,5,0,0,
glimra/oniguruma_to_es/transform/utils,are_flags_equal,fn,0,2,0,0,
glimra/oniguruma_to_es/transform/utils,get_flag_mods_from_flags,fn,0,2,0,0,
glimra/oniguruma_to_es/transform/utils,CloneState,type,25,4,0,0,
glimra/oniguruma_to_es/transform/utils,new_clone_state,fn,0,2,0,0,
glimra/oniguruma_to_es/transform/utils,new_clone_state_from,fn,0,2,0,0,
glimra/oniguruma_to_es/transform/utils,clone_capturing_group,fn,0,2,0,0,
glimra/oniguruma_to_es/transform/types,RegexPlusAst,type,1,5,2,11,
glimra/oniguruma_to_es/transform/types,RegexPlusFlags,type,2,2,0,2,
glimra/oniguruma_to_es/transform/types,TransformOptions,type,2,2,0,2,
glimra/oniguruma_to_es/transform/types,DisableOptions,type,2,2,0,0,
glimra/oniguruma_to_es/transform/types,ForceOptions,type,2,2,0,0,
glimra/oniguruma_to_es/transform/types,Strategy,type,2,3,0,2,
glimra/oniguruma_to_es/transform/types,Accuracy,type,2,2,0,0,
glimra/oniguruma_to_es/transform/types,Target,type,2,2,0,0,
glimra/oniguruma_to_es/transform/types,TransformConfig,type,1,5,0,0,
glimra/oniguruma_to_es/transform/types,SubroutineRefKey,type,0,4,0,0,
glimra/oniguruma_to_es/transform/types,SubroutineRefEntry,type,1,4,0,0,
glimra/oniguruma_to_es/transform/types,GroupNameInfo,type,1,6,0,0,
glimra/oniguruma_to_es/transform/second_pass,SecondPassState,type,49,1,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_to_es/transform/second_pass,MultiplexKey,type,4,0,0,0,internal_only
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_to_es/transform/second_pass,MultiplexEntry,type,6,0,0,0,internal_only
glimra/oniguruma_to_es/transform/second_pass,run,fn,0,5,3,5,
glimra/oniguruma_to_es/transform/first_pass,FirstPassState,type,65,1,0,0,
glimra/oniguruma_to_es/transform/first_pass,run,fn,0,5,3,5,
glimra/languages,Language,type,8,19,3,12,
glimra/languages,LanguageInfo,type,52,0,0,0,pub_signature
glimra/languages,language_info,fn,3,0,2,0,
glimra/languages,all_languages,fn,0,2,4,0,
glimra/languages,language_id,fn,0,6,3,7,
glimra/languages,language_grammar_file,fn,0,1,2,0,
glimra/languages,language_dependencies,fn,0,1,0,0,
glimra/ffi/cache,get,fn,1,58,0,5,
glimra/ffi/cache,put,fn,1,1,0,0,
glimra/ffi/onig_scanner,OnigScanner,type,7,14,0,2,
glimra/ffi/onig_scanner,MatchResult,type,4,16,0,0,
glimra/ffi/onig_scanner,create_scanner,fn,0,2,0,2,
glimra/ffi/onig_scanner,find_next_match,fn,0,6,0,0,
glimra/themes,BundledTheme,type,5,5,2,6,
glimra/themes,ThemeInfo,type,12,0,0,0,pub_signature
glimra/themes,theme_info,fn,1,0,3,0,
glimra/themes,all_themes,fn,0,2,6,2,
glimra/themes,theme_id,fn,1,2,3,18,
glimra/themes,Theme,type,4,41,0,3,
glimra/themes,theme_name,fn,0,12,0,3,
glimra/oniguruma_parser/parser,ParseOptions,type,4,0,0,2,
glimra/oniguruma_parser/parser,default_options,fn,0,1,0,2,
